spid,sl3bedtime1,sl3bedtime2,sl3bedtime3,sl3morning1,sl3morning2,sl3morning3
10000003,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000004,,,,,,
10000005,,,,,,
10000006,,,,,,
10000007,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000008,1,30,1:00 AM,6,30,1:00 AM
10000009,,,,,,
10000010,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000013,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000014,9,0,2:00 PM,8,0,1:00 AM
10000015,,,,,,
10000016,,,,,,
10000017,95 NO USUAL TIME OR DIFFERENT FROM NIGHT TO NIGHT,-1 Inapplicable,-1 Inapplicable,95 NO USUAL TIME OR DIFFERENT FROM DAY TO DAY,-1 Inapplicable,-1 Inapplicable
10000019,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000020,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000021,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000022,10,0,2:00 PM,7,0,1:00 AM
10000024,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000027,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000029,,,,,,
10000030,95 NO USUAL TIME OR DIFFERENT FROM NIGHT TO NIGHT,-1 Inapplicable,-1 Inapplicable,6,30,1:00 AM
10000032,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000033,,,,,,
10000034,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000036,11,30,2:00 PM,6,0,1:00 AM
10000037,,,,,,
10000038,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000040,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000041,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000042,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000043,8,30,2:00 PM,7,0,1:00 AM
10000044,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000045,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000046,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing
10000047,10,0,2:00 PM,7,30,1:00 AM
10000048,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing
10000049,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000050,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000051,-8 DK,-1 Inapplicable,-1 Inapplicable,-8 DK,-1 Inapplicable,-1 Inapplicable
10000052,,,,,,
10000053,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000055,,,,,,
10000056,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000057,11,30,2:00 PM,7,45,1:00 AM
10000060,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000063,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000064,10,30,2:00 PM,8,30,1:00 AM
10000067,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing
10000068,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000069,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000070,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000072,,,,,,
10000074,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000076,,,,,,
10000078,8,30,2:00 PM,7,0,1:00 AM
10000080,,,,,,
10000081,-8 DK,-1 Inapplicable,-1 Inapplicable,-8 DK,-1 Inapplicable,-1 Inapplicable
10000083,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000084,9,30,2:00 PM,6,0,1:00 AM
10000085,,,,,,
10000087,,,,,,
10000088,9,30,2:00 PM,4,0,1:00 AM
10000090,,,,,,
10000092,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000093,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000094,8,30,2:00 PM,6,30,1:00 AM
10000095,8,0,2:00 PM,8,0,1:00 AM
10000096,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000097,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000098,,,,,,
10000100,,,,,,
10000102,9,30,2:00 PM,5,23,1:00 AM
10000104,10,30,2:00 PM,6,0,1:00 AM
10000106,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000107,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000110,,,,,,
10000112,10,0,2:00 PM,7,0,1:00 AM
10000113,9,30,2:00 PM,6,30,1:00 AM
10000114,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000115,,,,,,
10000117,,,,,,
10000118,,,,,,
10000119,,,,,,
10000120,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000121,,,,,,
10000124,9,0,2:00 PM,9,0,1:00 AM
10000125,12,0,1:00 AM,5,30,1:00 AM
10000127,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000128,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000129,,,,,,
10000130,12,30,1:00 AM,8,30,1:00 AM
10000131,10,0,2:00 PM,7,0,1:00 AM
10000132,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000133,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000134,,,,,,
10000136,,,,,,
10000137,,,,,,
10000138,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000139,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000140,,,,,,
10000141,,,,,,
10000144,6,0,2:00 PM,7,30,2:00 PM
10000145,,,,,,
10000146,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000147,,,,,,
10000149,11,0,2:00 PM,7,30,1:00 AM
10000150,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000153,,,,,,
10000154,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000155,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000156,12,0,1:00 AM,8,30,1:00 AM
10000158,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000159,,,,,,
10000161,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000166,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000167,,,,,,
10000170,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000171,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000172,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000174,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000175,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000176,,,,,,
10000177,11,30,2:00 PM,6,30,1:00 AM
10000178,1,0,1:00 AM,7,0,1:00 AM
10000186,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing
10000187,,,,,,
10000188,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000190,,,,,,
10000192,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000194,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000196,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000198,,,,,,
10000199,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000200,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000201,,,,,,
10000202,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10000203,,,,,,
